sample_id	host	host_group	country	year	platform	fastq_status	downloaded_run	minimap2_preset	sra_runs	biosample	selection_rationale
O219	Oryza sativa	oryza	Cote d'Ivoire	1985	long-read	not_located	NA	NA	NA	SAMN37099171	Oryza-Diversitaet (Westafrika)
TRG2	Oryza sativa	oryza	Thailand	2023	long-read	not_located	NA	NA	NA	SAMN27511241	Oryza-Diversitaet (Suedostasien, juengste Probe im Pool)
Guy11	Oryza sativa	oryza	French Guiana	1979	long-read	not_located	NA	NA	NA	SAMN37608890	Benchmark-Isolat (etablierter Laborstamm, Kriterium 9.1)
EA18	Oryza sativa	oryza	China: Enshi Hubei	2021	hybrid (long-read+short-read)	not_located	NA	NA	NA	SAMN25211060	Oryza-Diversitaet (Ostasien); host ueber isolation_source=rice verifiziert, urspruenglich als unknown gefuehrt
B71	Triticum aestivum	triticum	Bolivia	2012	long-read (PacBio SMRT, raw/CLR)	downloaded (163478 reads, N50=35779bp, ~81x)	SRR6232287	map-pb	SRR6232283;SRR6232284;SRR6232285;SRR6232286;SRR6232287;SRR6232288;SRR6232289;SRR6232290;SRR6232291;SRR6232292;SRR12459118;SRR12459119	SAMN06076154	Weizenbrand-Pandemielinie (Suedamerika-Ursprung), 11 SRA-Laeufe verfuegbar (weitere 10 nicht heruntergeladen, ~80x bereits ausreichend)
ZM12	Triticum aestivum	triticum	Zambia	2018	long-read (Oxford Nanopore)	downloaded (397795 reads, N50=20605bp, ~108x)	SRR19868246	map-ont	SRR19903160;SRR19868245;SRR19868246;SRR19868247;SRR19868248	SAMN29254577	Weizenbrand-Pandemielinie (Afrika-Ausbreitung, anderer Kontinent als B71)
K23_123	Eleusine coracana	eleusine	Kenya: Busia district	NA	long-read (PacBio RS II, raw/CLR)	downloaded (344413 reads, N50=15831bp, ~78x)	SRR6307184	map-pb	SRR6307184	SAMN08033374	Eleusine-Pflicht-Slot (9.1); bereits heruntergeladen und QC-geprueft
E34	Eleusine coracana	eleusine	Ethiopia: Diga	NA	long-read (PacBio Sequel, raw/CLR)	downloaded (940548 reads, N50=16048bp, ~197x)	SRR9972918	map-pb	SRR9972918	SAMN12142210	Eleusine-Pflicht-Slot (9.1); bereits heruntergeladen und QC-geprueft
TF051MC7	Lolium arundinaceum	wildgrass	USA: Kentucky, Lexington	2005	long-read (Oxford Nanopore)	downloaded (325797 reads, N50=34671bp, ~184x)	SRR30725258	map-ont	SRR30725258	SAMN36850036	Wildgras-Diversitaet; gleiche Host-Gruppe wie LpKY97 (Referenzpanel), das bereits Mini-Chromosom-Kandidaten zeigte - "erwartete accessory DNA"-Kriterium (9.1)
gw6	Setaria italica	setaria	China: Shijiazhuang, Gaocheng	2016	long-read	not_located	NA	NA	NA	SAMN31488230	Weitere Host-Diversitaet (Kolbenhirse, einziger Setaria-Long-Read-Kandidat im Pool)
